"date","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","5.2","3","1","-93"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","6.0","3","2","-93"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","4.0","3","3","-93"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","1.8","3","4","-92"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","4.2","3","5","-92"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","2.2","3","6","-93"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","3.2","3","7","-93"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","3.5","3","8","-94"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","4.2","3","9","-95"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","5.2","3","0","-92"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","4.2","3","1abcdefghi","-92"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","4.8","3","2abcdefghi","-95"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","4.2","3","3abcdefghi","-96"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","5.0","3","4abcdefghi","-95"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","4.8","3","5abcdefghi","-93"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","3.5","3","6abcdefghi","-102"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","4.0","3","7abcdefghi","-93"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","5.8","3","8abcdefghi","-92"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","3.0","3","9abcdefghi","-94"
"2026-05-01","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.4207361","10.252459799999999","532","4.2","3","0abcdefghi","-92"